stock_id,year,sector,catch_t
jurel_cs,2000,Artesanal,7813
jurel_cs,2000,Industrial,1064213
jurel_cs,2001,Artesanal,14945
jurel_cs,2001,Industrial,1354135
jurel_cs,2002,Artesanal,21364
jurel_cs,2002,Industrial,1363985
jurel_cs,2003,Artesanal,25849
jurel_cs,2003,Industrial,1234638
jurel_cs,2004,Artesanal,32151
jurel_cs,2004,Industrial,1238790
jurel_cs,2005,Artesanal,22092
jurel_cs,2005,Industrial,1230699
jurel_cs,2006,Artesanal,22629
jurel_cs,2006,Industrial,1178381
jurel_cs,2007,Artesanal,20846
jurel_cs,2007,Industrial,1079787
jurel_cs,2008,Artesanal,10237
jurel_cs,2008,Industrial,661540
jurel_cs,2009,Artesanal,14500
jurel_cs,2009,Industrial,632888
jurel_cs,2010,Artesanal,36232
jurel_cs,2010,Industrial,200001
jurel_cs,2011,Artesanal,6876
jurel_cs,2011,Industrial,167813
jurel_cs,2012,Artesanal,4003
jurel_cs,2012,Industrial,175538
jurel_cs,2013,Artesanal,7391
jurel_cs,2013,Industrial,175862
jurel_cs,2014,Artesanal,9474
jurel_cs,2014,Industrial,234415
jurel_cs,2015,Artesanal,7074
jurel_cs,2015,Industrial,221324
jurel_cs,2016,Artesanal,12926
jurel_cs,2016,Industrial,265941
jurel_cs,2017,Artesanal,10131
jurel_cs,2017,Industrial,278576
jurel_cs,2018,Artesanal,14425
jurel_cs,2018,Industrial,392528
jurel_cs,2019,Artesanal,15189
jurel_cs,2019,Industrial,402199
jurel_cs,2020,Artesanal,16403
jurel_cs,2020,Industrial,480835
jurel_cs,2021,Artesanal,18215
jurel_cs,2021,Industrial,514415
jurel_cs,2022,Artesanal,37965
jurel_cs,2022,Industrial,578305
jurel_cs,2023,Artesanal,51616
jurel_cs,2023,Industrial,653689
