year,reg_zone,days_closed_yr,source
2013,IX_XIV,182,proxy_zonal_constante
2014,IX_XIV,182,proxy_zonal_constante
2015,IX_XIV,182,proxy_zonal_constante
2016,IX_XIV,182,proxy_zonal_constante
2017,IX_XIV,182,proxy_zonal_constante
2018,IX_XIV,182,proxy_zonal_constante
2019,IX_XIV,98,subpesca_indicadores_biologicos_scrape
2020,IX_XIV,189,subpesca_indicadores_biologicos_scrape
2021,IX_XIV,189,subpesca_indicadores_biologicos_scrape
2022,IX_XIV,175,subpesca_indicadores_biologicos_scrape
2023,IX_XIV,189,subpesca_indicadores_biologicos_scrape
2024,IX_XIV,224,subpesca_indicadores_biologicos_scrape
2013,V_VIII,151,proxy_zonal_constante
2014,V_VIII,151,proxy_zonal_constante
2015,V_VIII,151,proxy_zonal_constante
2016,V_VIII,151,proxy_zonal_constante
2017,V_VIII,151,proxy_zonal_constante
2018,V_VIII,151,proxy_zonal_constante
2019,V_VIII,98,subpesca_indicadores_biologicos_scrape
2020,V_VIII,189,subpesca_indicadores_biologicos_scrape
2021,V_VIII,192,subpesca_indicadores_biologicos_scrape
2022,V_VIII,211,subpesca_indicadores_biologicos_scrape
2023,V_VIII,189,subpesca_indicadores_biologicos_scrape
2024,V_VIII,230,subpesca_indicadores_biologicos_scrape
