year,periodo,abundance_num,biomass_t,area_mn2,density_t_per_mn2,stock
2010,Abril-mayo,2359547127,440357.9437820217,17239.0,25.5442858508,jurel_norte
2011,Abril-mayo,2831803877,432934.91426126135,7560.0,57.26652305043,jurel_norte
2012,Marzo-abril,1284085643,231583.0,8115.2,28.536943020504733,jurel_norte
2013,Marzo-abril,780666176,144138.8799036086,4115.0,35.02767433866552,jurel_norte
2014,Marzo-abril,1585867319,87228.84463050163,5793.82,15.055497863327068,jurel_norte
2015,Marzo.Abril,5764293123,459485.17931231624,8019.72,57.294416676930894,jurel_norte
2016,Marzo.Abril,6716953946,577234.8258709277,19173.0,30.10665132,jurel_norte
2017,Marzo.Abril,8526700737,610096.5988454237,14912.2,40.91258156713454,jurel_norte
2018,Marzo.Abril,10053739366,375661.4971921113,26492.4,14.17997226344579,jurel_norte
2019,Marzo.Abril,8541267647,1486649.196975492,17516.93,84.86927772021079,jurel_norte
2020,Marzo.Abril,9013744554,1728531.5957878407,19693.170000000002,87.77315159458028,jurel_norte
2021,Marzo.Abril,12261453231,1904359.2378699756,22381.82,85.0850930741993,jurel_norte
2023,Marzo.Abril,6693050651,2508882.761735545,18188.72,137.93619131723094,jurel_norte
2024,Marzo.Abril,13531355332,2781690.618353891,10943.7264,254.18130138504662,jurel_norte
