year,subzona,tipo,ciclo,sem_ini,sem_fin,dias_estim,n_reportes
2019,VXIV,reclutamiento,1,47,51,35,5
2020,VXIV,reclutamiento,1,5,16,84,11
2020,VXIV,reclutamiento,2,47,52,42,6
2021,VXIV,reclutamiento,1,5,16,84,12
2021,VXIV,reclutamiento,2,48,52,35,5
2022,VXIV,reclutamiento,1,4,16,91,13
2022,VXIV,reclutamiento,2,47,51,35,5
2023,VXIV,reclutamiento,1,4,16,91,13
2023,VXIV,reclutamiento,2,47,51,35,5
2024,VXIV,reclutamiento,1,5,16,84,11
2024,VXIV,reclutamiento,2,44,52,63,9
2019,VXIV,reproductiva,1,26,30,35,4
2019,VXIV,reproductiva,2,39,42,28,4
2020,VXIV,reproductiva,1,26,30,35,5
2020,VXIV,reproductiva,2,39,42,28,4
2021,VXIV,reproductiva,1,26,30,35,5
2021,VXIV,reproductiva,2,39,43,35,5
2022,VXIV,reproductiva,1,25,27,21,3
2022,VXIV,reproductiva,2,39,42,28,4
2023,VXIV,reproductiva,1,26,29,28,4
2023,VXIV,reproductiva,2,38,42,35,5
2024,VXIV,reproductiva,1,28,29,14,2
2024,VXIV,reproductiva,2,39,43,35,5
2022,NUBB,reclutamiento,1,20,24,35,5
2021,NUBB,reproductiva,1,44,44,7,1
2022,NUBB,cierre_areas,1,0,0,56,8
2024,NUBB,cierre_areas,1,0,0,14,2
2024,VPOLL,cierre_areas,1,0,0,28,4
