year,zone,days_closed_yr
2019,Araucania,98
2019,BioBio,98
2019,LosRios,98
2019,Maule,98
2019,Nuble,98
2019,OHiggins,98
2019,Valparaiso,98
2020,Araucania,189
2020,BioBio,189
2020,LosRios,189
2020,Maule,189
2020,Nuble,189
2020,OHiggins,189
2020,Valparaiso,189
2021,Araucania,189
2021,BioBio,196
2021,LosRios,189
2021,Maule,189
2021,Nuble,196
2021,OHiggins,189
2021,Valparaiso,189
2022,Araucania,175
2022,BioBio,266
2022,LosRios,175
2022,Maule,175
2022,Nuble,266
2022,OHiggins,175
2022,Valparaiso,175
2023,Araucania,189
2023,BioBio,189
2023,LosRios,189
2023,Maule,189
2023,Nuble,189
2023,OHiggins,189
2023,Valparaiso,189
2024,Araucania,224
2024,BioBio,238
2024,LosRios,224
2024,Maule,224
2024,Nuble,238
2024,OHiggins,224
2024,Valparaiso,224
