domain,stock,shifter,sigma_prior,sigma_post,ratio,mean_post,q5,q95,rhat,ess_bulk
main_envcoast,anchoveta_cs,rho_chl,1,0.8324099835510081,0.8324099835510081,-3.642245286936875,-5.005787185,-2.25239468,0.9999158421718314,15236.198166636465
main_envcoast,anchoveta_cs,rho_sst,1,0.4264549057718467,0.4264549057718467,-1.0553943289373124,-1.78563792,-0.38246628100000024,1.0001790377396889,12706.620576333897
main_envcoast,sardina_comun_cs,rho_chl,1,0.7366052543971704,0.7366052543971704,2.170740358767436,0.955582919,3.371647424999999,1.000202973383009,14318.951633469234
main_envcoast,sardina_comun_cs,rho_sst,1,0.44123394882320394,0.44123394882320394,-2.748005189385625,-3.46486432,-2.015906365,1.0004199173433126,8311.768790771603
main_envcoast,jurel_cs,rho_chl,1,1.0070284803270526,1.0070284803270526,-0.06462781739949656,-1.7244785050000002,1.6034217699999993,1.0014083903837323,21348.169424054657
main_envcoast,jurel_cs,rho_sst,1,1.013440882436191,1.013440882436191,0.4166275868178798,-1.25201151,2.090169704999999,1.0004316735512664,13626.502669879515
centro_sur_eez,anchoveta_cs,rho_chl,1,0.8920630237359862,0.8920630237359862,-3.0449549347433127,-4.505202714999999,-1.5597750100000007,1.0002893977912302,19362.14038085853
centro_sur_eez,anchoveta_cs,rho_sst,1,0.5429695532047153,0.5429695532047153,-0.7657641222447662,-1.694083315,0.10124393349999966,1.0006637320564935,11378.262239388789
centro_sur_eez,sardina_comun_cs,rho_chl,1,0.7606379292762473,0.7606379292762473,2.0981266229224507,0.85488955,3.3470984400000003,1.0003141123538963,14219.881453348647
centro_sur_eez,sardina_comun_cs,rho_sst,1,0.4943746415318976,0.4943746415318976,-2.665716908303125,-3.4768024300000002,-1.843128555,1.0002102353750126,8854.60281035713
centro_sur_eez,jurel_cs,rho_chl,1,1.0138051512468875,1.0138051512468875,-0.10312193513695188,-1.76572773,1.5564812499999998,1.001171710563337,23866.44231902216
centro_sur_eez,jurel_cs,rho_sst,1,1.0079834969654435,1.0079834969654435,0.44350643799843936,-1.21316079,2.1059998899999983,1.000311075918607,14081.859196986705
offshore_ext,anchoveta_cs,rho_chl,1,0.8775874410886322,0.8775874410886322,-3.0286502842344376,-4.455887714999999,-1.5817190100000005,1.0007536343388428,15497.131001754497
offshore_ext,anchoveta_cs,rho_sst,1,0.5384857669070146,0.5384857669070146,-0.7571025726811732,-1.6589842600000002,0.09116832929999988,1.0005056974284676,10927.58057387619
offshore_ext,sardina_comun_cs,rho_chl,1,0.7724254460623775,0.7724254460623775,2.1013823894322123,0.826575516,3.359574729999999,1.0005056963218135,13276.68961163656
offshore_ext,sardina_comun_cs,rho_sst,1,0.4913684746696024,0.4913684746696024,-2.655623080563125,-3.45545916,-1.846414905,1.0008591051821365,8897.20251122514
offshore_ext,jurel_cs,rho_chl,1,1.0074255789438753,1.0074255789438753,-0.1023909259773428,-1.75689171,1.5427539499999987,0.999973870552748,19663.078222798344
offshore_ext,jurel_cs,rho_sst,1,1.0053374992979676,1.0053374992979676,0.435660075395921,-1.221857805,2.0896966499999987,1.000289975826018,13070.200545269334
se_pacific,anchoveta_cs,rho_chl,1,0.8990306413267705,0.8990306413267705,-3.0428261648486625,-4.53038173,-1.55573321,1.000148554888684,17589.306923512035
se_pacific,anchoveta_cs,rho_sst,1,0.5380983883456312,0.5380983883456312,-0.7633879840495039,-1.6693637149999998,0.08949444799999987,1.000018602799707,11229.79239490587
se_pacific,sardina_comun_cs,rho_chl,1,0.783967994590022,0.783967994590022,2.106598203192415,0.799392744,3.375771105,1.0003285521443428,13479.879480877717
se_pacific,sardina_comun_cs,rho_sst,1,0.5036787319631804,0.5036787319631804,-2.651561421333125,-3.471801035,-1.810060645,1.0007899684604304,8835.988934547207
se_pacific,jurel_cs,rho_chl,1,0.9976234785506978,0.9976234785506978,-0.03635812818605687,-1.66645045,1.59275041,1.0006708523998604,25068.98861646427
se_pacific,jurel_cs,rho_sst,1,1.010017039749268,1.010017039749268,0.4073205203789491,-1.251348835,2.068720525,1.0002722645494282,14443.19465436983
